  Standard Error= .345357E-02
  Parameter 1= .673421E+04
  Parameter 2= .614526E+03
  Parameter 3= .138855E-03
  Parameter 4= .693110E+03
  Parameter 5= .123704E+00
  Parameter 6= .336921E+03
  Parameter 7= .333697E+03
  Parameter 8= .330788E+03
  Parameter 9= .328350E+03
  Parameter10= .326612E+03
   .336889E+03   .138440E+05   .136748E+05
   .336920E+03   .159040E+05   .162917E+05
   .336952E+03   .179360E+05   .190334E+05
   .336983E+03   .231680E+05   .232426E+05
   .337014E+03   .325040E+05   .307974E+05
   .337045E+03   .408480E+05   .404363E+05
   .337076E+03   .356640E+05   .351078E+05
   .337107E+03   .232880E+05   .229182E+05
   .337139E+03   .105680E+05   .103602E+05
   .337170E+03   .545600E+04   .500297E+04
   .337201E+03   .270900E+04   .321877E+04
   .337232E+03   .157100E+04   .239426E+04
   .337263E+03   .124000E+04   .193464E+04
   .337294E+03   .119300E+04   .164807E+04
   .337326E+03   .109700E+04   .145544E+04
   .337357E+03   .101300E+04   .131890E+04
   .337388E+03   .987000E+03   .121786E+04
   .337419E+03   .976000E+03   .114073E+04
   .337450E+03   .947000E+03   .108040E+04
   .337481E+03   .954000E+03   .103215E+04
   .337512E+03   .889000E+03   .992875E+03
   .337544E+03   .881000E+03   .960349E+03
   .337575E+03   .889000E+03   .933169E+03
   .337606E+03   .851000E+03   .910156E+03
   .337637E+03   .848000E+03   .890472E+03
   .337668E+03   .857000E+03   .873445E+03
   .337699E+03   .897000E+03   .858649E+03
   .337730E+03   .805000E+03   .845675E+03
   .337762E+03   .789000E+03   .834273E+03
   .337793E+03   .725000E+03   .824173E+03
   .337824E+03   .768000E+03   .815112E+03
   .337855E+03   .737000E+03   .806999E+03
   .337886E+03   .715000E+03   .799707E+03
   .337917E+03   .736000E+03   .793154E+03
   .337948E+03   .693000E+03   .787158E+03
   .337980E+03   .710000E+03   .781701E+03
   .338011E+03   .681000E+03   .776721E+03
   .338042E+03   .733000E+03   .772214E+03
   .338073E+03   .693000E+03   .768073E+03
   .338104E+03   .667000E+03   .764192E+03
   .338135E+03   .715000E+03   .760617E+03
   .338167E+03   .739000E+03   .757308E+03
   .338198E+03   .672000E+03   .754296E+03
   .338229E+03   .653000E+03   .751417E+03
   .338260E+03   .625000E+03   .748747E+03
   .338291E+03   .643000E+03   .746256E+03
   .338322E+03   .633000E+03   .743992E+03
   .338353E+03   .665000E+03   .741783E+03
   .338384E+03   .664000E+03   .739722E+03
   .338416E+03   .666000E+03   .737791E+03
   .338447E+03   .635000E+03   .736044E+03
   .338478E+03   .656000E+03   .734298E+03
   .338509E+03   .680000E+03   .732665E+03
   .338540E+03   .665000E+03   .731129E+03
   .338571E+03   .664000E+03   .729751E+03
